612952484185833472	Mon Jun 22 11:57:14 +0000 2015	0	0	Falling Star (A Jersey Girl Novel Book 1) by Laura DeLuca http://t.co/Po3yvW9xoI via @amazon			932572076	82	1690	87686	
612952487943892992	Mon Jun 22 11:57:15 +0000 2015	0	2	RT @TheMysteryLadie: How well do U want 2 know UR neighbors? REAL MURDER by Lauren Carr #mystery #KindleUnlimited #BYNR #ASMSG http://t.co/…			1309584812	13367	9384	598184	Russia, Moscow
612952559687495680	Mon Jun 22 11:57:32 +0000 2015	0	12	RT @TheMysteryLadie: Mac is up to his eyeballs in mob &amp; feds in Lauren Carr's BLAST FROM THE PAST #mystery #IARTG #CR4U #SNRTG http://t.co/…			172542810	4110	3988	50483	Houston, TX
612952620374867968	Mon Jun 22 11:57:47 +0000 2015	0	2	RT @cleispress: Ebook copy of Best Gay Romance 2014 edited by R.D. Cochrane &amp; Timothy J. Lambert only $1.99! @Amazon @BNBuzz http://t.co/6D…			887340668	1606	1999	124497	Genderqueer Lesbian, Bflo NY
612952726578823168	Mon Jun 22 11:58:12 +0000 2015	0	0	A Theological Debate Between T. W. Brents of the Church of Christ and Elder E... http://t.co/aGrs6ZkJNQ via @amazon			3144496384	297	2002	533	37766
612952824427773952	Mon Jun 22 11:58:36 +0000 2015	0	0	King of Capital: The Remarkable Rise, Fall, and Rise Again of Steve Schwarzma... http://t.co/cpGjKwKVaq via @amazon			14170225	6802	902	66593	Cairo, Egypt
612952836851281920	Mon Jun 22 11:58:39 +0000 2015	0	3	RT @MAMartin5995: Everything happening in the world today was already foretold in this book. I dare you to take a peek! @amazon http://t.co…			407326403	3029	2266	1905	Miami Fl
612952854966464512	Mon Jun 22 11:58:43 +0000 2015	0	11	RT @TheMysteryLadie: Most hilarious hostage scene in crime fiction history! TWELVE TO MURDER #mystery #KindleUnlimited #IARTG http://t.co/m…			547889703	4816	4418	104628	Bristol
612952856249925632	Mon Jun 22 11:58:43 +0000 2015	0	12	RT @TheMysteryLadie: Mac is up to his eyeballs in mob &amp; feds in Lauren Carr's BLAST FROM THE PAST #mystery #IARTG #CR4U #SNRTG http://t.co/…			2396974500	17651	17318	152703	
612952872720945152	Mon Jun 22 11:58:47 +0000 2015	0	0	The 3G Way: An introduction to the management style of the trio who's taken o... http://t.co/hKG0EZwg1l via @amazon			14170225	6802	902	66593	Cairo, Egypt
612952890127294465	Mon Jun 22 11:58:51 +0000 2015	0	0	Shadow Government: How the Secret Global Elite Is Using Surveillance Against ... http://t.co/xTMeZAvVkq via @amazon			2544608118	56	74	19	Montréal, Québec
612952927494344704	Mon Jun 22 11:59:00 +0000 2015	0	0	How to Find Scholarships and Free Financial Aid for Private High Schools by S... http://t.co/7EtonbPGgX via @amazon			2690793403	225	440	3744	Indianapolis, IN
612952991948275712	Mon Jun 22 11:59:16 +0000 2015	0	0	How to Submit a Winning Scholarship Application: Secret Techniques I Used to ... http://t.co/dBZ3WCsTYB via @amazon			2690793403	225	440	3744	Indianapolis, IN
612952993701449728	Mon Jun 22 11:59:16 +0000 2015	0	3	RT @TheMysteryLadie: Khloe is dying 2 B famous in Lauren Carr's THE LADY WHO CRIED MURDER. #mystery #IARTG #BYNR #CR4U #ASMSG http://t.co/9…			770579461	2175	1894	68381	Georgia, USA
612953011485310976	Mon Jun 22 11:59:20 +0000 2015	1	0	A #NewBook to look at =&gt; Saint Mazie: A Novel by Jami Attenberg http://t.co/0Kh1xFLjSM via @amazon			36033359	2571	2815	70937	 New York
612953033325023232	Mon Jun 22 11:59:25 +0000 2015	0	0	Here's what happened in #payments this week @paypal @apple @amazon http://t.co/cv0l983Sgf via @BIUK_Tech			2226797945	1041	1245	91	Amsterdam - Netherlands
612953103898439681	Mon Jun 22 11:59:42 +0000 2015	0	12	RT @TheMysteryLadie: Mac is up to his eyeballs in mob &amp; feds in Lauren Carr's BLAST FROM THE PAST #mystery #IARTG #CR4U #SNRTG http://t.co/…			2678010008	5257	5480	39862	
612953107564204032	Mon Jun 22 11:59:43 +0000 2015	0	1	RT @mrpiecrust: @TweeetYourBook_ @amazon Comfort: a novel of the reverse Underground Railroad is hot on film rights markets.			2329483946	7648	3268	11548	
612953153378627584	Mon Jun 22 11:59:54 +0000 2015	0	6	RT @FizaPathan: Classics: Why we should encourage children to read them by Fiza Pathan http://t.co/hS5BO8Pe6S via @amazon			101444951	12979	12636	178831	UK
612953182424010753	Mon Jun 22 12:00:01 +0000 2015	0	5	I just bought Bella Swann's The Claiming of Persephone (Taboo Tales of Paranormal Kink Book 1) by Amazon via @amazon #EARTG Blood pumping!			2731515595	1234	1234	6518	Northeast USA
612953199515934721	Mon Jun 22 12:00:05 +0000 2015	0	0	The paperback edition of #WorryNoMoreBook is now available on @Amazon! Get it at 50% off! =&gt; http://t.co/2Ga3aeg0do http://t.co/vtag35qUZO			57497901	359517	189402	209659	Richmond, VA USA
612953203190157312	Mon Jun 22 12:00:06 +0000 2015	0	11	RT @TheMysteryLadie: Most hilarious hostage scene in crime fiction history! TWELVE TO MURDER #mystery #KindleUnlimited #IARTG http://t.co/m…			3198520128	685	675	3237	
612953270860910592	Mon Jun 22 12:00:22 +0000 2015	0	0	Just pre-ordered Season 4 of @Revenge on DVD from @amazon. Can't wait until it comes out on August 25th.			427808736	41	79	1828	
612953334488694784	Mon Jun 22 12:00:37 +0000 2015	0	0	Just saw this on Amazon: Disney INFINITY Disney Infinity: Captain America http://t.co/TTRlwzBO0I via @amazon #marvel http://t.co/7wYdv5HJB5			2521572668	715	534	1727	Chicago
612953397516333056	Mon Jun 22 12:00:52 +0000 2015	0	0	The Target (Will Robie Book 3) by David Baldacci http://t.co/8WKOTa3dYO via @amazon			2433412003	6	7	2852	
612953408170008576	Mon Jun 22 12:00:55 +0000 2015	0	0	Area 51: An Uncensored History of America's Top Secret Military Base by Annie... http://t.co/XJUdeeJ4UG via @amazon			2544608118	56	74	19	Montréal, Québec
612953436175355904	Mon Jun 22 12:01:01 +0000 2015	0	3	RT @TheMysteryLadie: Khloe is dying 2 B famous in Lauren Carr's THE LADY WHO CRIED MURDER. #mystery #IARTG #BYNR #CR4U #ASMSG http://t.co/9…			1651745263	31912	32598	348759	
612953448670171136	Mon Jun 22 12:01:04 +0000 2015	0	5	RT @rbobrien120: I just bought Bella Swann's The Claiming of Persephone (Taboo Tales of Paranormal Kink Book 1) by Amazon via @amazon #EART…			2250854376	9549	7935	19909	in dreams & for sale here:
612953472313331713	Mon Jun 22 12:01:10 +0000 2015	0	0	Giveaway! $25 Amazon GC!! @simplycathi @davidcrismon @Amazon #giveaway #giveaways http://t.co/vZS5TWuAmw			629569892	245	1999	14814	
612953555457196032	Mon Jun 22 12:01:30 +0000 2015	0	5	RT @rbobrien120: I just bought Bella Swann's The Claiming of Persephone (Taboo Tales of Paranormal Kink Book 1) by Amazon via @amazon #EART…			2557894974	4939	4102	51506	
612953633450233860	Mon Jun 22 12:01:48 +0000 2015	0	11	RT @TheMysteryLadie: Most hilarious hostage scene in crime fiction history! TWELVE TO MURDER #mystery #KindleUnlimited #IARTG http://t.co/m…			2945232106	516	279	27779	
