id;ticker;name;index_id;exchange_id;fb_page;tw_name;tw_search_name;;other_tw_name;tw_name has other lang than AJ;fb page other lang
288;MAT;Mattel Inc.;1;;Mattel;Mattel;Mattel;;;;
289;MKC;McCormick & Co.;1;;;mccormickspices;McCormick & Company;;;;
290;MCD;McDonald's Corp.;1;;McDonalds;McDonalds;McDonalds;;;;
291;MHFI;McGraw Hill Financial;1;;mhfi;mhfi;McGraw Hill Financial;;;;
292;MCK;McKesson Corp.;1;;McKessonCorporation;McKesson;McKesson -deray;;;;
293;MJN;Mead Johnson;1;;;meadjohnson;Mead Johnson;;;;
294;MWV;MeadWestvaco Corporation;1;;;;MeadWestvaco;;;;
295;MDT;Medtronic plc;1;;Medtronic;Medtronic;Medtronic;;;;
296;MRK;Merck & Co.;1;;MerckBeWell;Merck;Merck;;;;
297;MET;MetLife Inc.;1;;metlife;MetLife;MetLife;;;;
298;MCHP;Microchip Technology;1;;microchiptechnology;MicrochipTech;Microchip Technology;;;;
299;MU;Micron Technology;1;;;MicronTech;Micron Technology;;;;
300;MSFT;Microsoft Corp.;1;;Microsoft;microsoft;Microsoft;;;;
301;KORS;Michael Kors Holdings;1;;michaelkors;MichaelKors;Michael Kors Holdings;;;;
302;MHK;Mohawk Industries;1;;;mhkgreenworks;Mohawk Industries;;;;
303;TAP;Molson Coors Brewing Company;1;;CoorsPeak;molsoncoors;Molson Coors Brewing;;;;
304;MDLZ;Mondelez International;1;;mondelezinternational;MDLZ;Mondelez International;;;;
305;MON;Monsanto Co.;1;;MonsantoCo;MonsantoCo;Monsanto;;;;
306;MNST;Monster Beverage;1;;MonsterEnergy;MonsterEnergy;Monster Beverage;;;;
307;MCO;Moody's Corp;1;;;MoodysInvSvc;Moody's;;;;
308;MS;Morgan Stanley;1;;;MorganStanley;Morgan Stanley;;;;
309;MSI;Motorola Solutions Inc.;1;;Motorola;MotoSolutions;Motorola Solutions;;;;
310;MUR;Murphy Oil;1;;;;Murphy Oil;;;;
311;MYL;Mylan N.V.;1;;;MylanNews;Mylan N.V.;;;;
312;NDAQ;NASDAQ OMX Group;1;;NASDAQ;NASDAQ;NASDAQ;;;;
313;NOV;National Oilwell Varco Inc.;1;;NationalOilwellVarco;novglobal;National Oilwell Varco;;;;
314;NAVI;Navient;1;;;Navient;Navient;;;;
315;NTAP;NetApp;1;;NetApp;NetApp;NetApp;;;;
316;NFLX;Netflix Inc.;1;;netflix;netflix;Netflix;;;;
317;NWL;Newell Rubbermaid Co.;1;;NEWELLRUBBERMAID;nwlrubbermaid;Newell Rubbermaid;;;;
318;NFX;Newfield Exploration Co;1;;;Newfield3;Newfield Exploration;;;;
319;NEM;Newmont Mining Corp. (Hldg. Co.);1;;NewmontMiningCorporation;newmont;Newmont Mining;;;;
320;NWSA;News Corp.;1;;newscorp;newscorp;News Corp;;;;
321;NEE;NextEra Energy;1;;;nexteraenergy;NextEra Energy;;;;
322;NLSN;Nielsen Holdings;1;;nielsen;Nielsen;Nielsen Holdings;;;;
323;NKE;Nike;1;;nike;Nike;Nike;;;;
324;NI;NiSource Inc.;1;;NiSource;NiSourceInc;NiSource;;;;
325;NE;Noble Corp;1;;;;Noble Corp;;;;
326;NBL;Noble Energy Inc;1;;;NobleColorado;Noble Energy;;;;
327;JWN;Nordstrom;1;;Nordstrom;Nordstrom;Nordstrom;;;;
328;NSC;Norfolk Southern Corp.;1;;norfolksouthern;nscorp;Norfolk Southern;;;;
329;NTRS;Northern Trust Corp.;1;;;NorthernTrust;Northern Trust;;;;
330;NOC;Northrop Grumman Corp.;1;;NorthropGrumman;northropgrumman;Northrop Grumman;;;;
331;NRG;NRG Energy;1;;NRG;nrgenergy;NRG Energy;;;;
332;NUE;Nucor Corp.;1;;;NucorCorp;Nucor;;;;
333;NVDA;Nvidia Corporation;1;;NVIDIA;nvidia;Nvidia;;;;
334;OXY;Occidental Petroleum;1;;;OXY_Petroleum;Occidental Petroleum;;;;
335;OMC;Omnicom Group;1;;;Omnicom;Omnicom;;;;
336;OKE;ONEOK;1;;ONEOKInc;ONEOK;ONEOK;;;;
337;ORCL;Oracle Corp.;1;;Oracle;Oracle;Oracle;;;;
338;ORLY;O'Reilly Automotive;1;;OreillyAutoParts;oreillyauto;O'Reilly Automotive;;;;
339;OI;Owens-Illinois Inc;1;;;;Owens Illinois;;;;
340;PCAR;PACCAR Inc.;1;;;;PACCAR;;;;
341;;Pall Corp.;1;;;PallCorporation;Pall Corp.;;;;
342;PH;Parker-Hannifin;1;;;ParkerHannifin;Parker Hannifin;;;;
343;PDCO;Patterson Companies;1;;;;Patterson Companies;;;;
344;PAYX;Paychex Inc.;1;;Paychex;PaychexNews;Paychex;;Paychex;;
345;PNR;Pentair Ltd.;1;;PentairHidroFiltros;Pentair;Pentair;;;;
346;PBCT;People's United Financial;1;;;;People's United Financial;;;;
347;POM;Pepco Holdings Inc.;1;;;PepcoConnect;Pepco Holdings;;;;
348;PEP;PepsiCo Inc.;1;;pepsi;PepsiCo;PepsiCo;;;;
